large2: Alg=21, OPT=19, RelErr=0.1053
large6: Alg=7, OPT=6, RelErr=0.1667
large11: Alg=56, OPT=40, RelErr=0.4000
test3: Alg=7, OPT=6, RelErr=0.1667
small3: Alg=6, OPT=5, RelErr=0.2000
small11: Alg=5, OPT=4, RelErr=0.2500
small7: Alg=4, OPT=3, RelErr=0.3333
small15: Alg=3, OPT=2, RelErr=0.5000
small12: Alg=4, OPT=3, RelErr=0.3333
test4: Alg=5, OPT=4, RelErr=0.2500
small4: Alg=5, OPT=4, RelErr=0.2500
small16: Alg=3, OPT=2, RelErr=0.5000
large1: Alg=83, OPT=50, RelErr=0.6600
large5: Alg=8, OPT=6, RelErr=0.3333
large12: Alg=18, OPT=15, RelErr=0.2000
small18: Alg=3, OPT=2, RelErr=0.5000
small9: Alg=4, OPT=3, RelErr=0.3333
large8: Alg=6, OPT=5, RelErr=0.2000
small8: Alg=3, OPT=2, RelErr=0.5000
large9: Alg=16, OPT=14, RelErr=0.1429
small17: Alg=3, OPT=2, RelErr=0.5000
small5: Alg=6, OPT=5, RelErr=0.2000
test5: Alg=5, OPT=4, RelErr=0.2500
small13: Alg=3, OPT=2, RelErr=0.5000
test1: Alg=2, OPT=2, RelErr=0.0000
small1: Alg=5, OPT=5, RelErr=0.0000
large4: Alg=153, OPT=91, RelErr=0.6813
large10: Alg=319, OPT=221, RelErr=0.4434
large7: Alg=172, OPT=95, RelErr=0.8105
large3: Alg=17, OPT=15, RelErr=0.1333
small14: Alg=3, OPT=2, RelErr=0.5000
small6: Alg=4, OPT=3, RelErr=0.3333
small10: Alg=3, OPT=2, RelErr=0.5000
small2: Alg=4, OPT=3, RelErr=0.3333
test2: Alg=3, OPT=2, RelErr=0.5000
