,Dataset,LS1_time,LS1_size,LS1_relerr,LS2_time,LS2_size,LS2_relerr,BnB_time,BnB_size,BnB_relerr,Approx_time,Approx_size,Approx_relerr,Optimal
0,large1,40.0,152.1,2.0,160.0,179.9,2.6,1800.0,0,-1.0,0.16,83,0.66,50
1,large10,46.0,398.25,0.8,120.0,508.35,1.3,1800.0,0,-1.0,0.11,319,0.44,220
2,large11,4.1,82.6,1.1,37.0,97.65,1.4,1800.0,0,-1.0,0.028,56,0.4,40
3,large12,0.4,30.05,1.0,17.0,29.6,0.97,1800.0,0,-1.0,0.0012,18,0.2,15
4,large2,0.34,30.9,0.63,16.0,29.35,0.54,2100.0,0,-1.0,0.0005,21,0.11,19
5,large3,0.43,30.35,1.0,17.0,29.6,0.97,2000.0,0,-1.0,0.0026,17,0.13,15
6,large4,25.0,198.7,1.2,98.0,241.4,1.7,2100.0,0,-1.0,0.05,153,0.68,91
7,large5,0.14,12.2,1.0,18.0,10.05,0.68,2700.0,8,0.33,0.0015,8,0.33,6
8,large6,0.18,12.2,1.0,18.0,10.35,0.72,2100.0,7,0.17,0.003,7,0.17,6
9,large7,46.0,236.0,1.5,150.0,292.2,2.1,2700.0,0,-1.0,0.14,172,0.81,95
10,large8,0.065,9.15,0.83,13.0,8.0,0.6,2600.0,5,0.0,0.0007,6,0.2,5
11,large9,0.43,30.0,1.1,17.0,28.65,1.0,2000.0,0,-1.0,0.0023,16,0.14,14
12,small1,0.0042,6.6,0.32,6.4,5.45,0.09,0.0015,5,0.0,0.0,5,0.0,5
13,small10,0.011,2.7,0.35,5.2,2.0,0.0,0.0003,2,0.0,0.0,3,0.5,2
14,small11,0.027,4.55,0.14,7.1,4.0,0.0,0.0053,4,0.0,0.0,5,0.25,4
15,small12,0.0051,3.85,0.28,5.9,3.05,0.017,0.0022,3,0.0,0.0,4,0.33,3
16,small13,0.01,2.8,0.4,5.3,2.0,0.0,0.0003,2,0.0,0.0,3,0.5,2
17,small14,0.01,2.4,0.2,4.8,2.0,0.0,0.0003,2,0.0,0.0,3,0.5,2
18,small15,0.01,2.65,0.33,6.2,2.3,0.15,0.0007,2,0.0,0.0,3,0.5,2
19,small16,0.0081,2.85,0.42,5.3,2.1,0.05,0.0005,2,0.0,0.0,3,0.5,2
20,small17,0.011,3.3,0.65,6.8,2.55,0.28,0.0011,2,0.0,0.0,3,0.5,2
21,small18,0.013,3.15,0.57,6.0,2.1,0.05,0.0008,2,0.0,0.0,3,0.5,2
22,small2,0.0063,3.3,0.1,4.9,3.0,0.0,0.0003,3,0.0,0.0,4,0.33,3
23,small3,0.018,5.5,0.1,6.0,5.0,0.0,0.0042,5,0.0,0.0,6,0.2,5
24,small4,0.0057,4.5,0.12,5.2,4.0,0.0,0.001,4,0.0,0.0,5,0.25,4
25,small5,0.025,6.45,0.29,6.8,5.25,0.05,0.015,5,0.0,0.0,6,0.2,5
26,small6,0.013,5.05,0.68,5.7,3.1,0.033,0.0013,3,0.0,0.0,4,0.33,3
27,small7,0.012,3.85,0.28,5.2,3.0,0.0,0.0004,3,0.0,0.0,4,0.33,3
28,small8,0.0036,2.8,0.4,5.1,2.0,0.0,0.0003,2,0.0,0.0,3,0.5,2
29,small9,0.017,4.2,0.4,5.9,3.2,0.067,0.0007,3,0.0,0.0,4,0.33,3
30,test1,0.0013,2.0,0.0,4.0,2.0,0.0,0.0002,2,0.0,0.0,2,0.0,2
31,test2,0.0072,2.6,0.3,4.5,2.0,0.0,0.0002,2,0.0,0.0,3,0.5,2
32,test3,0.0056,6.25,0.042,4.9,6.0,0.0,0.0019,6,0.0,0.0,7,0.17,6
33,test4,0.00091,4.0,0.0,4.2,4.0,0.0,0.0003,4,0.0,0.0,5,0.25,4
34,test5,0.011,4.0,0.0,4.9,4.0,0.0,0.0004,4,0.0,0.0,5,0.25,4
